headline,sentiment
"Yields on CDs Fell in the Latest Week",-1
"Currency Trading: Dollar Remains in Tight Ranges Amid Wait for U.S. Jobs Data",0
"Stocks Fall Again; BofA, Alcoa Slide",-1
"U.S. Dollar Falls Against Most Currencies; Decline Is Softened as Bond Rally Stalls",-1
"Defending Yourself Against Deflation",-1
"Dollar Declines as Players Take Profits From Rally and After Fed Boosts Rates",-1
"Tech Sector in Hiring Drive; Google, Intel Add Workers as Profits Snap Back; Start-Ups Also Fight for Talent",1
"Fed's Greenspan Refuses to Accept Blame for Recession; Upturn's Pace Is 'Glacial'",-1
"Producer Prices Decreased 0.2% In November --- Drop Caused by 1.5% Fall For Energy and Decline Of 0.5% in Food Costs",1
"Consumer Credit Continued Surge In July, Fed Says --- But Increase of $7.11 Billion Was Smaller Than Rises In Previous Two Months",0
"Consumer Spending Rises a Bit; Incomes Climb Solidly, but Stronger Economic Growth Faces Headwinds",0
"Small-Scale Deficit Deal Increases Risk of U.S. Downgrade",-1
"U.S. News: U.S. Watch",0
"New Job Data Cast Doubt on Economy's Slowing",1
"Dollar Jumps, Aided by Data",1
"Despite Rally, Worries Over Inflation Remain --- Economists Search For Better Indicators Than the Jobs Report",-1
"Retailers Stock Up on Caution",-1
"Some Stocks Had Big Fourth-Quarter Gains Despite a Plunge in Broad Market Averages",0
"Bond Prices Are Little Changed In Slow Trading As Investors Brace for January Employment Data",0
"U.S. News: Producer Prices Log Another Monthly Drop, Showing the Weakness in Global Demand",-1
"Corporations' Orders to Buy Push Up Dollar --- An Early Slump Followed Yeutter Trade Remark; No Fed Action Is Seen",1
"How To Play Rising Rates; The Bond Boom Has Left Many Investors Vulnerable to a Surprise Jump in Interest Rates. Here's How to Protect Yourself--and Profit",0
"Tracking the Economy: Economists Follow February Job Data Upward and Boost Output Estimates",1
"New home sales rose 7.1% in May; Personal income and spending up 0.3%",1
"U.S. Merchandise Trade Gap Shrank During 1st Quarter",1
"Bernanke Faces Skepticism Over Policy",-1
"Ahead of the Tape",0
"Use of stock-options contracts climbs as investors seek hedge",0
"Record Exports Cut Trade Gap For 1st Quarter --- Machine Sales Helped Slice Deficit to $35.95 Billion; Imports Also Set Mark",1
"The Afternoon Report: Reckoning Rates",0
"Bigger Bills: With Costs Rising, Companies Move To Increase Prices; Mix of Inflation, Slowdown Poses Challenge for Fed; Energy Takes Broad Toll; Dow Surges on GDP Figures",0
"The Keynesian Growth Discount; The results of our three-year economic experiment are in.",0
"Cisco and Charles River Soar; Hospira, Toll Brothers Stumble; Other Housing Firms Drop As Do Federated, Disney Amid Broad Economic Fears",0
"Economy Gives Social Security a Reprieve --- Latest Forecast Extends Trust Fund's Solvency By Three Years, to 2032",1
"Jobless Rate May Signal Slowing Growth --- January Rise to 5.7% Comes After Year-Long Drop; Fed Moves Seen as Key",-1
